datasets\waterDataSet\imgAug\499.jpeg datasets\waterDataSet\labelAug\499.png datasets\waterDataSet\edge\499.png
datasets\waterDataSet\imgAug\793.jpeg datasets\waterDataSet\labelAug\793.png datasets\waterDataSet\edge\793.png
datasets\waterDataSet\imgAug\975.jpeg datasets\waterDataSet\labelAug\975.png datasets\waterDataSet\edge\975.png
datasets\waterDataSet\imgAug\4582.jpeg datasets\waterDataSet\labelAug\4582.png datasets\waterDataSet\edge\4582.png
datasets\waterDataSet\imgAug\1001.jpeg datasets\waterDataSet\labelAug\1001.png datasets\waterDataSet\edge\1001.png
datasets\waterDataSet\imgAug\2629.jpeg datasets\waterDataSet\labelAug\2629.png datasets\waterDataSet\edge\2629.png
datasets\waterDataSet\imgAug\4195.jpeg datasets\waterDataSet\labelAug\4195.png datasets\waterDataSet\edge\4195.png
datasets\waterDataSet\imgAug\567.jpeg datasets\waterDataSet\labelAug\567.png datasets\waterDataSet\edge\567.png
datasets\waterDataSet\imgAug\301.jpeg datasets\waterDataSet\labelAug\301.png datasets\waterDataSet\edge\301.png
datasets\waterDataSet\imgAug\1603.jpeg datasets\waterDataSet\labelAug\1603.png datasets\waterDataSet\edge\1603.png
datasets\waterDataSet\imgAug\682.jpeg datasets\waterDataSet\labelAug\682.png datasets\waterDataSet\edge\682.png
datasets\waterDataSet\imgAug\4500.jpeg datasets\waterDataSet\labelAug\4500.png datasets\waterDataSet\edge\4500.png
datasets\waterDataSet\imgAug\2575.jpeg datasets\waterDataSet\labelAug\2575.png datasets\waterDataSet\edge\2575.png
datasets\waterDataSet\imgAug\3552.jpeg datasets\waterDataSet\labelAug\3552.png datasets\waterDataSet\edge\3552.png
datasets\waterDataSet\imgAug\2503.jpeg datasets\waterDataSet\labelAug\2503.png datasets\waterDataSet\edge\2503.png
datasets\waterDataSet\imgAug\3707.jpeg datasets\waterDataSet\labelAug\3707.png datasets\waterDataSet\edge\3707.png
datasets\waterDataSet\imgAug\2652.jpeg datasets\waterDataSet\labelAug\2652.png datasets\waterDataSet\edge\2652.png
datasets\waterDataSet\imgAug\169.jpeg datasets\waterDataSet\labelAug\169.png datasets\waterDataSet\edge\169.png
datasets\waterDataSet\imgAug\514.jpeg datasets\waterDataSet\labelAug\514.png datasets\waterDataSet\edge\514.png
datasets\waterDataSet\imgAug\3289.jpeg datasets\waterDataSet\labelAug\3289.png datasets\waterDataSet\edge\3289.png
datasets\waterDataSet\imgAug\4226.jpeg datasets\waterDataSet\labelAug\4226.png datasets\waterDataSet\edge\4226.png
datasets\waterDataSet\imgAug\836.jpeg datasets\waterDataSet\labelAug\836.png datasets\waterDataSet\edge\836.png
datasets\waterDataSet\imgAug\2019.jpeg datasets\waterDataSet\labelAug\2019.png datasets\waterDataSet\edge\2019.png
datasets\waterDataSet\imgAug\3970.jpeg datasets\waterDataSet\labelAug\3970.png datasets\waterDataSet\edge\3970.png
datasets\waterDataSet\imgAug\802.jpeg datasets\waterDataSet\labelAug\802.png datasets\waterDataSet\edge\802.png
datasets\waterDataSet\imgAug\3137.jpeg datasets\waterDataSet\labelAug\3137.png datasets\waterDataSet\edge\3137.png
datasets\waterDataSet\imgAug\982.jpeg datasets\waterDataSet\labelAug\982.png datasets\waterDataSet\edge\982.png
datasets\waterDataSet\imgAug\562.jpeg datasets\waterDataSet\labelAug\562.png datasets\waterDataSet\edge\562.png
datasets\waterDataSet\imgAug\4926.jpeg datasets\waterDataSet\labelAug\4926.png datasets\waterDataSet\edge\4926.png
datasets\waterDataSet\imgAug\3208.jpeg datasets\waterDataSet\labelAug\3208.png datasets\waterDataSet\edge\3208.png
datasets\waterDataSet\imgAug\3251.jpeg datasets\waterDataSet\labelAug\3251.png datasets\waterDataSet\edge\3251.png
datasets\waterDataSet\imgAug\265.jpeg datasets\waterDataSet\labelAug\265.png datasets\waterDataSet\edge\265.png
datasets\waterDataSet\imgAug\2803.jpeg datasets\waterDataSet\labelAug\2803.png datasets\waterDataSet\edge\2803.png
datasets\waterDataSet\imgAug\550.jpeg datasets\waterDataSet\labelAug\550.png datasets\waterDataSet\edge\550.png
datasets\waterDataSet\imgAug\3266.jpeg datasets\waterDataSet\labelAug\3266.png datasets\waterDataSet\edge\3266.png
datasets\waterDataSet\imgAug\2740.jpeg datasets\waterDataSet\labelAug\2740.png datasets\waterDataSet\edge\2740.png
datasets\waterDataSet\imgAug\1030.jpeg datasets\waterDataSet\labelAug\1030.png datasets\waterDataSet\edge\1030.png
datasets\waterDataSet\imgAug\2000.jpeg datasets\waterDataSet\labelAug\2000.png datasets\waterDataSet\edge\2000.png
datasets\waterDataSet\imgAug\1099.jpeg datasets\waterDataSet\labelAug\1099.png datasets\waterDataSet\edge\1099.png
datasets\waterDataSet\imgAug\222.jpeg datasets\waterDataSet\labelAug\222.png datasets\waterDataSet\edge\222.png
datasets\waterDataSet\imgAug\757.jpeg datasets\waterDataSet\labelAug\757.png datasets\waterDataSet\edge\757.png
datasets\waterDataSet\imgAug\4110.jpeg datasets\waterDataSet\labelAug\4110.png datasets\waterDataSet\edge\4110.png
datasets\waterDataSet\imgAug\160.jpeg datasets\waterDataSet\labelAug\160.png datasets\waterDataSet\edge\160.png
datasets\waterDataSet\imgAug\4802.jpeg datasets\waterDataSet\labelAug\4802.png datasets\waterDataSet\edge\4802.png
datasets\waterDataSet\imgAug\743.jpeg datasets\waterDataSet\labelAug\743.png datasets\waterDataSet\edge\743.png
datasets\waterDataSet\imgAug\2154.jpeg datasets\waterDataSet\labelAug\2154.png datasets\waterDataSet\edge\2154.png
datasets\waterDataSet\imgAug\692.jpeg datasets\waterDataSet\labelAug\692.png datasets\waterDataSet\edge\692.png
datasets\waterDataSet\imgAug\4385.jpeg datasets\waterDataSet\labelAug\4385.png datasets\waterDataSet\edge\4385.png
datasets\waterDataSet\imgAug\1189.jpeg datasets\waterDataSet\labelAug\1189.png datasets\waterDataSet\edge\1189.png
datasets\waterDataSet\imgAug\100.jpeg datasets\waterDataSet\labelAug\100.png datasets\waterDataSet\edge\100.png
datasets\waterDataSet\imgAug\4885.jpeg datasets\waterDataSet\labelAug\4885.png datasets\waterDataSet\edge\4885.png
datasets\waterDataSet\imgAug\4843.jpeg datasets\waterDataSet\labelAug\4843.png datasets\waterDataSet\edge\4843.png
datasets\waterDataSet\imgAug\780.jpeg datasets\waterDataSet\labelAug\780.png datasets\waterDataSet\edge\780.png
datasets\waterDataSet\imgAug\2940.jpeg datasets\waterDataSet\labelAug\2940.png datasets\waterDataSet\edge\2940.png
datasets\waterDataSet\imgAug\4569.jpeg datasets\waterDataSet\labelAug\4569.png datasets\waterDataSet\edge\4569.png
datasets\waterDataSet\imgAug\2184.jpeg datasets\waterDataSet\labelAug\2184.png datasets\waterDataSet\edge\2184.png
datasets\waterDataSet\imgAug\1451.jpeg datasets\waterDataSet\labelAug\1451.png datasets\waterDataSet\edge\1451.png
datasets\waterDataSet\imgAug\4127.jpeg datasets\waterDataSet\labelAug\4127.png datasets\waterDataSet\edge\4127.png
datasets\waterDataSet\imgAug\4787.jpeg datasets\waterDataSet\labelAug\4787.png datasets\waterDataSet\edge\4787.png
datasets\waterDataSet\imgAug\4695.jpeg datasets\waterDataSet\labelAug\4695.png datasets\waterDataSet\edge\4695.png
datasets\waterDataSet\imgAug\1569.jpeg datasets\waterDataSet\labelAug\1569.png datasets\waterDataSet\edge\1569.png
datasets\waterDataSet\imgAug\428.jpeg datasets\waterDataSet\labelAug\428.png datasets\waterDataSet\edge\428.png
datasets\waterDataSet\imgAug\3138.jpeg datasets\waterDataSet\labelAug\3138.png datasets\waterDataSet\edge\3138.png
datasets\waterDataSet\imgAug\3663.jpeg datasets\waterDataSet\labelAug\3663.png datasets\waterDataSet\edge\3663.png
datasets\waterDataSet\imgAug\41.jpeg datasets\waterDataSet\labelAug\41.png datasets\waterDataSet\edge\41.png
datasets\waterDataSet\imgAug\841.jpeg datasets\waterDataSet\labelAug\841.png datasets\waterDataSet\edge\841.png
datasets\waterDataSet\imgAug\2712.jpeg datasets\waterDataSet\labelAug\2712.png datasets\waterDataSet\edge\2712.png
datasets\waterDataSet\imgAug\4480.jpeg datasets\waterDataSet\labelAug\4480.png datasets\waterDataSet\edge\4480.png
datasets\waterDataSet\imgAug\251.jpeg datasets\waterDataSet\labelAug\251.png datasets\waterDataSet\edge\251.png
datasets\waterDataSet\imgAug\4065.jpeg datasets\waterDataSet\labelAug\4065.png datasets\waterDataSet\edge\4065.png
datasets\waterDataSet\imgAug\4384.jpeg datasets\waterDataSet\labelAug\4384.png datasets\waterDataSet\edge\4384.png
datasets\waterDataSet\imgAug\749.jpeg datasets\waterDataSet\labelAug\749.png datasets\waterDataSet\edge\749.png
datasets\waterDataSet\imgAug\4231.jpeg datasets\waterDataSet\labelAug\4231.png datasets\waterDataSet\edge\4231.png
datasets\waterDataSet\imgAug\3843.jpeg datasets\waterDataSet\labelAug\3843.png datasets\waterDataSet\edge\3843.png
datasets\waterDataSet\imgAug\4348.jpeg datasets\waterDataSet\labelAug\4348.png datasets\waterDataSet\edge\4348.png
datasets\waterDataSet\imgAug\4214.jpeg datasets\waterDataSet\labelAug\4214.png datasets\waterDataSet\edge\4214.png
datasets\waterDataSet\imgAug\4602.jpeg datasets\waterDataSet\labelAug\4602.png datasets\waterDataSet\edge\4602.png
datasets\waterDataSet\imgAug\3164.jpeg datasets\waterDataSet\labelAug\3164.png datasets\waterDataSet\edge\3164.png
datasets\waterDataSet\imgAug\4360.jpeg datasets\waterDataSet\labelAug\4360.png datasets\waterDataSet\edge\4360.png
datasets\waterDataSet\imgAug\3170.jpeg datasets\waterDataSet\labelAug\3170.png datasets\waterDataSet\edge\3170.png
datasets\waterDataSet\imgAug\4866.jpeg datasets\waterDataSet\labelAug\4866.png datasets\waterDataSet\edge\4866.png
datasets\waterDataSet\imgAug\1584.jpeg datasets\waterDataSet\labelAug\1584.png datasets\waterDataSet\edge\1584.png
datasets\waterDataSet\imgAug\2481.jpeg datasets\waterDataSet\labelAug\2481.png datasets\waterDataSet\edge\2481.png
datasets\waterDataSet\imgAug\3465.jpeg datasets\waterDataSet\labelAug\3465.png datasets\waterDataSet\edge\3465.png
datasets\waterDataSet\imgAug\3409.jpeg datasets\waterDataSet\labelAug\3409.png datasets\waterDataSet\edge\3409.png
datasets\waterDataSet\imgAug\3798.jpeg datasets\waterDataSet\labelAug\3798.png datasets\waterDataSet\edge\3798.png
datasets\waterDataSet\imgAug\1324.jpeg datasets\waterDataSet\labelAug\1324.png datasets\waterDataSet\edge\1324.png
datasets\waterDataSet\imgAug\3614.jpeg datasets\waterDataSet\labelAug\3614.png datasets\waterDataSet\edge\3614.png
datasets\waterDataSet\imgAug\2448.jpeg datasets\waterDataSet\labelAug\2448.png datasets\waterDataSet\edge\2448.png
datasets\waterDataSet\imgAug\278.jpeg datasets\waterDataSet\labelAug\278.png datasets\waterDataSet\edge\278.png
datasets\waterDataSet\imgAug\693.jpeg datasets\waterDataSet\labelAug\693.png datasets\waterDataSet\edge\693.png
datasets\waterDataSet\imgAug\3936.jpeg datasets\waterDataSet\labelAug\3936.png datasets\waterDataSet\edge\3936.png
datasets\waterDataSet\imgAug\488.jpeg datasets\waterDataSet\labelAug\488.png datasets\waterDataSet\edge\488.png
datasets\waterDataSet\imgAug\4583.jpeg datasets\waterDataSet\labelAug\4583.png datasets\waterDataSet\edge\4583.png
datasets\waterDataSet\imgAug\3167.jpeg datasets\waterDataSet\labelAug\3167.png datasets\waterDataSet\edge\3167.png
datasets\waterDataSet\imgAug\182.jpeg datasets\waterDataSet\labelAug\182.png datasets\waterDataSet\edge\182.png
datasets\waterDataSet\imgAug\3782.jpeg datasets\waterDataSet\labelAug\3782.png datasets\waterDataSet\edge\3782.png
datasets\waterDataSet\imgAug\1010.jpeg datasets\waterDataSet\labelAug\1010.png datasets\waterDataSet\edge\1010.png
datasets\waterDataSet\imgAug\2331.jpeg datasets\waterDataSet\labelAug\2331.png datasets\waterDataSet\edge\2331.png
datasets\waterDataSet\imgAug\2224.jpeg datasets\waterDataSet\labelAug\2224.png datasets\waterDataSet\edge\2224.png
datasets\waterDataSet\imgAug\105.jpeg datasets\waterDataSet\labelAug\105.png datasets\waterDataSet\edge\105.png
datasets\waterDataSet\imgAug\3722.jpeg datasets\waterDataSet\labelAug\3722.png datasets\waterDataSet\edge\3722.png
datasets\waterDataSet\imgAug\187.jpeg datasets\waterDataSet\labelAug\187.png datasets\waterDataSet\edge\187.png
datasets\waterDataSet\imgAug\2408.jpeg datasets\waterDataSet\labelAug\2408.png datasets\waterDataSet\edge\2408.png
datasets\waterDataSet\imgAug\108.jpeg datasets\waterDataSet\labelAug\108.png datasets\waterDataSet\edge\108.png
datasets\waterDataSet\imgAug\4958.jpeg datasets\waterDataSet\labelAug\4958.png datasets\waterDataSet\edge\4958.png
datasets\waterDataSet\imgAug\5005.jpeg datasets\waterDataSet\labelAug\5005.png datasets\waterDataSet\edge\5005.png
datasets\waterDataSet\imgAug\4010.jpeg datasets\waterDataSet\labelAug\4010.png datasets\waterDataSet\edge\4010.png
datasets\waterDataSet\imgAug\3601.jpeg datasets\waterDataSet\labelAug\3601.png datasets\waterDataSet\edge\3601.png
datasets\waterDataSet\imgAug\1328.jpeg datasets\waterDataSet\labelAug\1328.png datasets\waterDataSet\edge\1328.png
datasets\waterDataSet\imgAug\862.jpeg datasets\waterDataSet\labelAug\862.png datasets\waterDataSet\edge\862.png
datasets\waterDataSet\imgAug\56.jpeg datasets\waterDataSet\labelAug\56.png datasets\waterDataSet\edge\56.png
datasets\waterDataSet\imgAug\3827.jpeg datasets\waterDataSet\labelAug\3827.png datasets\waterDataSet\edge\3827.png
datasets\waterDataSet\imgAug\3960.jpeg datasets\waterDataSet\labelAug\3960.png datasets\waterDataSet\edge\3960.png
datasets\waterDataSet\imgAug\2605.jpeg datasets\waterDataSet\labelAug\2605.png datasets\waterDataSet\edge\2605.png
datasets\waterDataSet\imgAug\4770.jpeg datasets\waterDataSet\labelAug\4770.png datasets\waterDataSet\edge\4770.png
datasets\waterDataSet\imgAug\1771.jpeg datasets\waterDataSet\labelAug\1771.png datasets\waterDataSet\edge\1771.png
datasets\waterDataSet\imgAug\3136.jpeg datasets\waterDataSet\labelAug\3136.png datasets\waterDataSet\edge\3136.png
datasets\waterDataSet\imgAug\3599.jpeg datasets\waterDataSet\labelAug\3599.png datasets\waterDataSet\edge\3599.png
datasets\waterDataSet\imgAug\2889.jpeg datasets\waterDataSet\labelAug\2889.png datasets\waterDataSet\edge\2889.png
datasets\waterDataSet\imgAug\2535.jpeg datasets\waterDataSet\labelAug\2535.png datasets\waterDataSet\edge\2535.png
datasets\waterDataSet\imgAug\4845.jpeg datasets\waterDataSet\labelAug\4845.png datasets\waterDataSet\edge\4845.png
datasets\waterDataSet\imgAug\1538.jpeg datasets\waterDataSet\labelAug\1538.png datasets\waterDataSet\edge\1538.png
datasets\waterDataSet\imgAug\3090.jpeg datasets\waterDataSet\labelAug\3090.png datasets\waterDataSet\edge\3090.png
datasets\waterDataSet\imgAug\1292.jpeg datasets\waterDataSet\labelAug\1292.png datasets\waterDataSet\edge\1292.png
datasets\waterDataSet\imgAug\456.jpeg datasets\waterDataSet\labelAug\456.png datasets\waterDataSet\edge\456.png
datasets\waterDataSet\imgAug\1506.jpeg datasets\waterDataSet\labelAug\1506.png datasets\waterDataSet\edge\1506.png
datasets\waterDataSet\imgAug\3568.jpeg datasets\waterDataSet\labelAug\3568.png datasets\waterDataSet\edge\3568.png
datasets\waterDataSet\imgAug\23.jpeg datasets\waterDataSet\labelAug\23.png datasets\waterDataSet\edge\23.png
datasets\waterDataSet\imgAug\3540.jpeg datasets\waterDataSet\labelAug\3540.png datasets\waterDataSet\edge\3540.png
datasets\waterDataSet\imgAug\3403.jpeg datasets\waterDataSet\labelAug\3403.png datasets\waterDataSet\edge\3403.png
datasets\waterDataSet\imgAug\2067.jpeg datasets\waterDataSet\labelAug\2067.png datasets\waterDataSet\edge\2067.png
datasets\waterDataSet\imgAug\270.jpeg datasets\waterDataSet\labelAug\270.png datasets\waterDataSet\edge\270.png
datasets\waterDataSet\imgAug\298.jpeg datasets\waterDataSet\labelAug\298.png datasets\waterDataSet\edge\298.png
datasets\waterDataSet\imgAug\3905.jpeg datasets\waterDataSet\labelAug\3905.png datasets\waterDataSet\edge\3905.png
datasets\waterDataSet\imgAug\4928.jpeg datasets\waterDataSet\labelAug\4928.png datasets\waterDataSet\edge\4928.png
datasets\waterDataSet\imgAug\5025.jpeg datasets\waterDataSet\labelAug\5025.png datasets\waterDataSet\edge\5025.png
datasets\waterDataSet\imgAug\4674.jpeg datasets\waterDataSet\labelAug\4674.png datasets\waterDataSet\edge\4674.png
datasets\waterDataSet\imgAug\593.jpeg datasets\waterDataSet\labelAug\593.png datasets\waterDataSet\edge\593.png
datasets\waterDataSet\imgAug\1022.jpeg datasets\waterDataSet\labelAug\1022.png datasets\waterDataSet\edge\1022.png
datasets\waterDataSet\imgAug\1187.jpeg datasets\waterDataSet\labelAug\1187.png datasets\waterDataSet\edge\1187.png
datasets\waterDataSet\imgAug\1313.jpeg datasets\waterDataSet\labelAug\1313.png datasets\waterDataSet\edge\1313.png
datasets\waterDataSet\imgAug\945.jpeg datasets\waterDataSet\labelAug\945.png datasets\waterDataSet\edge\945.png
datasets\waterDataSet\imgAug\2090.jpeg datasets\waterDataSet\labelAug\2090.png datasets\waterDataSet\edge\2090.png
datasets\waterDataSet\imgAug\969.jpeg datasets\waterDataSet\labelAug\969.png datasets\waterDataSet\edge\969.png
datasets\waterDataSet\imgAug\1979.jpeg datasets\waterDataSet\labelAug\1979.png datasets\waterDataSet\edge\1979.png
datasets\waterDataSet\imgAug\1103.jpeg datasets\waterDataSet\labelAug\1103.png datasets\waterDataSet\edge\1103.png
datasets\waterDataSet\imgAug\4164.jpeg datasets\waterDataSet\labelAug\4164.png datasets\waterDataSet\edge\4164.png
datasets\waterDataSet\imgAug\1892.jpeg datasets\waterDataSet\labelAug\1892.png datasets\waterDataSet\edge\1892.png
datasets\waterDataSet\imgAug\3872.jpeg datasets\waterDataSet\labelAug\3872.png datasets\waterDataSet\edge\3872.png
datasets\waterDataSet\imgAug\1202.jpeg datasets\waterDataSet\labelAug\1202.png datasets\waterDataSet\edge\1202.png
datasets\waterDataSet\imgAug\3997.jpeg datasets\waterDataSet\labelAug\3997.png datasets\waterDataSet\edge\3997.png
datasets\waterDataSet\imgAug\947.jpeg datasets\waterDataSet\labelAug\947.png datasets\waterDataSet\edge\947.png
datasets\waterDataSet\imgAug\2649.jpeg datasets\waterDataSet\labelAug\2649.png datasets\waterDataSet\edge\2649.png
datasets\waterDataSet\imgAug\3775.jpeg datasets\waterDataSet\labelAug\3775.png datasets\waterDataSet\edge\3775.png
datasets\waterDataSet\imgAug\4596.jpeg datasets\waterDataSet\labelAug\4596.png datasets\waterDataSet\edge\4596.png
datasets\waterDataSet\imgAug\3350.jpeg datasets\waterDataSet\labelAug\3350.png datasets\waterDataSet\edge\3350.png
datasets\waterDataSet\imgAug\4244.jpeg datasets\waterDataSet\labelAug\4244.png datasets\waterDataSet\edge\4244.png
datasets\waterDataSet\imgAug\3588.jpeg datasets\waterDataSet\labelAug\3588.png datasets\waterDataSet\edge\3588.png
datasets\waterDataSet\imgAug\4886.jpeg datasets\waterDataSet\labelAug\4886.png datasets\waterDataSet\edge\4886.png
datasets\waterDataSet\imgAug\816.jpeg datasets\waterDataSet\labelAug\816.png datasets\waterDataSet\edge\816.png
datasets\waterDataSet\imgAug\586.jpeg datasets\waterDataSet\labelAug\586.png datasets\waterDataSet\edge\586.png
datasets\waterDataSet\imgAug\2881.jpeg datasets\waterDataSet\labelAug\2881.png datasets\waterDataSet\edge\2881.png
datasets\waterDataSet\imgAug\4118.jpeg datasets\waterDataSet\labelAug\4118.png datasets\waterDataSet\edge\4118.png
datasets\waterDataSet\imgAug\3771.jpeg datasets\waterDataSet\labelAug\3771.png datasets\waterDataSet\edge\3771.png
datasets\waterDataSet\imgAug\537.jpeg datasets\waterDataSet\labelAug\537.png datasets\waterDataSet\edge\537.png
datasets\waterDataSet\imgAug\3727.jpeg datasets\waterDataSet\labelAug\3727.png datasets\waterDataSet\edge\3727.png
datasets\waterDataSet\imgAug\1782.jpeg datasets\waterDataSet\labelAug\1782.png datasets\waterDataSet\edge\1782.png
datasets\waterDataSet\imgAug\1311.jpeg datasets\waterDataSet\labelAug\1311.png datasets\waterDataSet\edge\1311.png
datasets\waterDataSet\imgAug\4913.jpeg datasets\waterDataSet\labelAug\4913.png datasets\waterDataSet\edge\4913.png
datasets\waterDataSet\imgAug\2194.jpeg datasets\waterDataSet\labelAug\2194.png datasets\waterDataSet\edge\2194.png
datasets\waterDataSet\imgAug\4156.jpeg datasets\waterDataSet\labelAug\4156.png datasets\waterDataSet\edge\4156.png
datasets\waterDataSet\imgAug\4923.jpeg datasets\waterDataSet\labelAug\4923.png datasets\waterDataSet\edge\4923.png
datasets\waterDataSet\imgAug\574.jpeg datasets\waterDataSet\labelAug\574.png datasets\waterDataSet\edge\574.png
datasets\waterDataSet\imgAug\2181.jpeg datasets\waterDataSet\labelAug\2181.png datasets\waterDataSet\edge\2181.png
datasets\waterDataSet\imgAug\812.jpeg datasets\waterDataSet\labelAug\812.png datasets\waterDataSet\edge\812.png
datasets\waterDataSet\imgAug\355.jpeg datasets\waterDataSet\labelAug\355.png datasets\waterDataSet\edge\355.png
datasets\waterDataSet\imgAug\627.jpeg datasets\waterDataSet\labelAug\627.png datasets\waterDataSet\edge\627.png
datasets\waterDataSet\imgAug\5094.jpeg datasets\waterDataSet\labelAug\5094.png datasets\waterDataSet\edge\5094.png
datasets\waterDataSet\imgAug\471.jpeg datasets\waterDataSet\labelAug\471.png datasets\waterDataSet\edge\471.png
datasets\waterDataSet\imgAug\2452.jpeg datasets\waterDataSet\labelAug\2452.png datasets\waterDataSet\edge\2452.png
datasets\waterDataSet\imgAug\4775.jpeg datasets\waterDataSet\labelAug\4775.png datasets\waterDataSet\edge\4775.png
datasets\waterDataSet\imgAug\2820.jpeg datasets\waterDataSet\labelAug\2820.png datasets\waterDataSet\edge\2820.png
datasets\waterDataSet\imgAug\953.jpeg datasets\waterDataSet\labelAug\953.png datasets\waterDataSet\edge\953.png
datasets\waterDataSet\imgAug\4636.jpeg datasets\waterDataSet\labelAug\4636.png datasets\waterDataSet\edge\4636.png
datasets\waterDataSet\imgAug\2774.jpeg datasets\waterDataSet\labelAug\2774.png datasets\waterDataSet\edge\2774.png
datasets\waterDataSet\imgAug\155.jpeg datasets\waterDataSet\labelAug\155.png datasets\waterDataSet\edge\155.png
datasets\waterDataSet\imgAug\1389.jpeg datasets\waterDataSet\labelAug\1389.png datasets\waterDataSet\edge\1389.png
datasets\waterDataSet\imgAug\910.jpeg datasets\waterDataSet\labelAug\910.png datasets\waterDataSet\edge\910.png
datasets\waterDataSet\imgAug\1672.jpeg datasets\waterDataSet\labelAug\1672.png datasets\waterDataSet\edge\1672.png
datasets\waterDataSet\imgAug\1418.jpeg datasets\waterDataSet\labelAug\1418.png datasets\waterDataSet\edge\1418.png
datasets\waterDataSet\imgAug\432.jpeg datasets\waterDataSet\labelAug\432.png datasets\waterDataSet\edge\432.png
datasets\waterDataSet\imgAug\3884.jpeg datasets\waterDataSet\labelAug\3884.png datasets\waterDataSet\edge\3884.png
datasets\waterDataSet\imgAug\3971.jpeg datasets\waterDataSet\labelAug\3971.png datasets\waterDataSet\edge\3971.png
datasets\waterDataSet\imgAug\4620.jpeg datasets\waterDataSet\labelAug\4620.png datasets\waterDataSet\edge\4620.png
datasets\waterDataSet\imgAug\4312.jpeg datasets\waterDataSet\labelAug\4312.png datasets\waterDataSet\edge\4312.png
datasets\waterDataSet\imgAug\1106.jpeg datasets\waterDataSet\labelAug\1106.png datasets\waterDataSet\edge\1106.png
datasets\waterDataSet\imgAug\2717.jpeg datasets\waterDataSet\labelAug\2717.png datasets\waterDataSet\edge\2717.png
datasets\waterDataSet\imgAug\4797.jpeg datasets\waterDataSet\labelAug\4797.png datasets\waterDataSet\edge\4797.png
datasets\waterDataSet\imgAug\3816.jpeg datasets\waterDataSet\labelAug\3816.png datasets\waterDataSet\edge\3816.png
datasets\waterDataSet\imgAug\2766.jpeg datasets\waterDataSet\labelAug\2766.png datasets\waterDataSet\edge\2766.png
datasets\waterDataSet\imgAug\181.jpeg datasets\waterDataSet\labelAug\181.png datasets\waterDataSet\edge\181.png
datasets\waterDataSet\imgAug\3012.jpeg datasets\waterDataSet\labelAug\3012.png datasets\waterDataSet\edge\3012.png
datasets\waterDataSet\imgAug\1880.jpeg datasets\waterDataSet\labelAug\1880.png datasets\waterDataSet\edge\1880.png
datasets\waterDataSet\imgAug\4322.jpeg datasets\waterDataSet\labelAug\4322.png datasets\waterDataSet\edge\4322.png
datasets\waterDataSet\imgAug\3788.jpeg datasets\waterDataSet\labelAug\3788.png datasets\waterDataSet\edge\3788.png
datasets\waterDataSet\imgAug\2168.jpeg datasets\waterDataSet\labelAug\2168.png datasets\waterDataSet\edge\2168.png
datasets\waterDataSet\imgAug\538.jpeg datasets\waterDataSet\labelAug\538.png datasets\waterDataSet\edge\538.png
datasets\waterDataSet\imgAug\2494.jpeg datasets\waterDataSet\labelAug\2494.png datasets\waterDataSet\edge\2494.png
datasets\waterDataSet\imgAug\1956.jpeg datasets\waterDataSet\labelAug\1956.png datasets\waterDataSet\edge\1956.png
datasets\waterDataSet\imgAug\818.jpeg datasets\waterDataSet\labelAug\818.png datasets\waterDataSet\edge\818.png
datasets\waterDataSet\imgAug\5017.jpeg datasets\waterDataSet\labelAug\5017.png datasets\waterDataSet\edge\5017.png
datasets\waterDataSet\imgAug\3473.jpeg datasets\waterDataSet\labelAug\3473.png datasets\waterDataSet\edge\3473.png
datasets\waterDataSet\imgAug\371.jpeg datasets\waterDataSet\labelAug\371.png datasets\waterDataSet\edge\371.png
datasets\waterDataSet\imgAug\2949.jpeg datasets\waterDataSet\labelAug\2949.png datasets\waterDataSet\edge\2949.png
datasets\waterDataSet\imgAug\3561.jpeg datasets\waterDataSet\labelAug\3561.png datasets\waterDataSet\edge\3561.png
datasets\waterDataSet\imgAug\4540.jpeg datasets\waterDataSet\labelAug\4540.png datasets\waterDataSet\edge\4540.png
datasets\waterDataSet\imgAug\2123.jpeg datasets\waterDataSet\labelAug\2123.png datasets\waterDataSet\edge\2123.png
datasets\waterDataSet\imgAug\1671.jpeg datasets\waterDataSet\labelAug\1671.png datasets\waterDataSet\edge\1671.png
datasets\waterDataSet\imgAug\4229.jpeg datasets\waterDataSet\labelAug\4229.png datasets\waterDataSet\edge\4229.png
datasets\waterDataSet\imgAug\5121.jpeg datasets\waterDataSet\labelAug\5121.png datasets\waterDataSet\edge\5121.png
datasets\waterDataSet\imgAug\1746.jpeg datasets\waterDataSet\labelAug\1746.png datasets\waterDataSet\edge\1746.png
datasets\waterDataSet\imgAug\5045.jpeg datasets\waterDataSet\labelAug\5045.png datasets\waterDataSet\edge\5045.png
datasets\waterDataSet\imgAug\2680.jpeg datasets\waterDataSet\labelAug\2680.png datasets\waterDataSet\edge\2680.png
datasets\waterDataSet\imgAug\2041.jpeg datasets\waterDataSet\labelAug\2041.png datasets\waterDataSet\edge\2041.png
datasets\waterDataSet\imgAug\3605.jpeg datasets\waterDataSet\labelAug\3605.png datasets\waterDataSet\edge\3605.png
datasets\waterDataSet\imgAug\3416.jpeg datasets\waterDataSet\labelAug\3416.png datasets\waterDataSet\edge\3416.png
datasets\waterDataSet\imgAug\1355.jpeg datasets\waterDataSet\labelAug\1355.png datasets\waterDataSet\edge\1355.png
