datasets\buildings\image\3463.png datasets\buildings\label2_gray\3463.png datasets\buildings\edge\3463.png
datasets\buildings\image\1631.png datasets\buildings\label2_gray\1631.png datasets\buildings\edge\1631.png
datasets\buildings\image\4587.png datasets\buildings\label2_gray\4587.png datasets\buildings\edge\4587.png
datasets\buildings\image\1108.png datasets\buildings\label2_gray\1108.png datasets\buildings\edge\1108.png
datasets\buildings\image\3338.png datasets\buildings\label2_gray\3338.png datasets\buildings\edge\3338.png
datasets\buildings\image\5133.png datasets\buildings\label2_gray\5133.png datasets\buildings\edge\5133.png
datasets\buildings\image\1391.png datasets\buildings\label2_gray\1391.png datasets\buildings\edge\1391.png
datasets\buildings\image\4615.png datasets\buildings\label2_gray\4615.png datasets\buildings\edge\4615.png
datasets\buildings\image\3966.png datasets\buildings\label2_gray\3966.png datasets\buildings\edge\3966.png
datasets\buildings\image\1681.png datasets\buildings\label2_gray\1681.png datasets\buildings\edge\1681.png
datasets\buildings\image\2306.png datasets\buildings\label2_gray\2306.png datasets\buildings\edge\2306.png
datasets\buildings\image\657.png datasets\buildings\label2_gray\657.png datasets\buildings\edge\657.png
datasets\buildings\image\5581.png datasets\buildings\label2_gray\5581.png datasets\buildings\edge\5581.png
datasets\buildings\image\417.png datasets\buildings\label2_gray\417.png datasets\buildings\edge\417.png
datasets\buildings\image\9.png datasets\buildings\label2_gray\9.png datasets\buildings\edge\9.png
datasets\buildings\image\4843.png datasets\buildings\label2_gray\4843.png datasets\buildings\edge\4843.png
datasets\buildings\image\3537.png datasets\buildings\label2_gray\3537.png datasets\buildings\edge\3537.png
datasets\buildings\image\3811.png datasets\buildings\label2_gray\3811.png datasets\buildings\edge\3811.png
datasets\buildings\image\1884.png datasets\buildings\label2_gray\1884.png datasets\buildings\edge\1884.png
datasets\buildings\image\3207.png datasets\buildings\label2_gray\3207.png datasets\buildings\edge\3207.png
datasets\buildings\image\2981.png datasets\buildings\label2_gray\2981.png datasets\buildings\edge\2981.png
datasets\buildings\image\1145.png datasets\buildings\label2_gray\1145.png datasets\buildings\edge\1145.png
datasets\buildings\image\3710.png datasets\buildings\label2_gray\3710.png datasets\buildings\edge\3710.png
datasets\buildings\image\2876.png datasets\buildings\label2_gray\2876.png datasets\buildings\edge\2876.png
datasets\buildings\image\2881.png datasets\buildings\label2_gray\2881.png datasets\buildings\edge\2881.png
datasets\buildings\image\740.png datasets\buildings\label2_gray\740.png datasets\buildings\edge\740.png
datasets\buildings\image\1892.png datasets\buildings\label2_gray\1892.png datasets\buildings\edge\1892.png
datasets\buildings\image\1903.png datasets\buildings\label2_gray\1903.png datasets\buildings\edge\1903.png
datasets\buildings\image\517.png datasets\buildings\label2_gray\517.png datasets\buildings\edge\517.png
datasets\buildings\image\2421.png datasets\buildings\label2_gray\2421.png datasets\buildings\edge\2421.png
datasets\buildings\image\4944.png datasets\buildings\label2_gray\4944.png datasets\buildings\edge\4944.png
datasets\buildings\image\4322.png datasets\buildings\label2_gray\4322.png datasets\buildings\edge\4322.png
datasets\buildings\image\2023.png datasets\buildings\label2_gray\2023.png datasets\buildings\edge\2023.png
datasets\buildings\image\4204.png datasets\buildings\label2_gray\4204.png datasets\buildings\edge\4204.png
datasets\buildings\image\538.png datasets\buildings\label2_gray\538.png datasets\buildings\edge\538.png
datasets\buildings\image\4760.png datasets\buildings\label2_gray\4760.png datasets\buildings\edge\4760.png
datasets\buildings\image\3071.png datasets\buildings\label2_gray\3071.png datasets\buildings\edge\3071.png
datasets\buildings\image\5529.png datasets\buildings\label2_gray\5529.png datasets\buildings\edge\5529.png
datasets\buildings\image\5097.png datasets\buildings\label2_gray\5097.png datasets\buildings\edge\5097.png
datasets\buildings\image\1701.png datasets\buildings\label2_gray\1701.png datasets\buildings\edge\1701.png
datasets\buildings\image\2091.png datasets\buildings\label2_gray\2091.png datasets\buildings\edge\2091.png
datasets\buildings\image\919.png datasets\buildings\label2_gray\919.png datasets\buildings\edge\919.png
datasets\buildings\image\4480.png datasets\buildings\label2_gray\4480.png datasets\buildings\edge\4480.png
datasets\buildings\image\5082.png datasets\buildings\label2_gray\5082.png datasets\buildings\edge\5082.png
datasets\buildings\image\5408.png datasets\buildings\label2_gray\5408.png datasets\buildings\edge\5408.png
datasets\buildings\image\4677.png datasets\buildings\label2_gray\4677.png datasets\buildings\edge\4677.png
datasets\buildings\image\1364.png datasets\buildings\label2_gray\1364.png datasets\buildings\edge\1364.png
datasets\buildings\image\2555.png datasets\buildings\label2_gray\2555.png datasets\buildings\edge\2555.png
datasets\buildings\image\1359.png datasets\buildings\label2_gray\1359.png datasets\buildings\edge\1359.png
datasets\buildings\image\4172.png datasets\buildings\label2_gray\4172.png datasets\buildings\edge\4172.png
datasets\buildings\image\2519.png datasets\buildings\label2_gray\2519.png datasets\buildings\edge\2519.png
datasets\buildings\image\5489.png datasets\buildings\label2_gray\5489.png datasets\buildings\edge\5489.png
datasets\buildings\image\3697.png datasets\buildings\label2_gray\3697.png datasets\buildings\edge\3697.png
datasets\buildings\image\983.png datasets\buildings\label2_gray\983.png datasets\buildings\edge\983.png
datasets\buildings\image\4316.png datasets\buildings\label2_gray\4316.png datasets\buildings\edge\4316.png
datasets\buildings\image\5217.png datasets\buildings\label2_gray\5217.png datasets\buildings\edge\5217.png
datasets\buildings\image\3327.png datasets\buildings\label2_gray\3327.png datasets\buildings\edge\3327.png
datasets\buildings\image\3691.png datasets\buildings\label2_gray\3691.png datasets\buildings\edge\3691.png
datasets\buildings\image\2472.png datasets\buildings\label2_gray\2472.png datasets\buildings\edge\2472.png
datasets\buildings\image\1315.png datasets\buildings\label2_gray\1315.png datasets\buildings\edge\1315.png
datasets\buildings\image\5127.png datasets\buildings\label2_gray\5127.png datasets\buildings\edge\5127.png
datasets\buildings\image\2317.png datasets\buildings\label2_gray\2317.png datasets\buildings\edge\2317.png
datasets\buildings\image\3813.png datasets\buildings\label2_gray\3813.png datasets\buildings\edge\3813.png
datasets\buildings\image\4875.png datasets\buildings\label2_gray\4875.png datasets\buildings\edge\4875.png
datasets\buildings\image\2502.png datasets\buildings\label2_gray\2502.png datasets\buildings\edge\2502.png
datasets\buildings\image\879.png datasets\buildings\label2_gray\879.png datasets\buildings\edge\879.png
datasets\buildings\image\5532.png datasets\buildings\label2_gray\5532.png datasets\buildings\edge\5532.png
datasets\buildings\image\153.png datasets\buildings\label2_gray\153.png datasets\buildings\edge\153.png
datasets\buildings\image\2717.png datasets\buildings\label2_gray\2717.png datasets\buildings\edge\2717.png
datasets\buildings\image\2205.png datasets\buildings\label2_gray\2205.png datasets\buildings\edge\2205.png
datasets\buildings\image\656.png datasets\buildings\label2_gray\656.png datasets\buildings\edge\656.png
datasets\buildings\image\5733.png datasets\buildings\label2_gray\5733.png datasets\buildings\edge\5733.png
datasets\buildings\image\1822.png datasets\buildings\label2_gray\1822.png datasets\buildings\edge\1822.png
datasets\buildings\image\176.png datasets\buildings\label2_gray\176.png datasets\buildings\edge\176.png
datasets\buildings\image\4913.png datasets\buildings\label2_gray\4913.png datasets\buildings\edge\4913.png
datasets\buildings\image\5735.png datasets\buildings\label2_gray\5735.png datasets\buildings\edge\5735.png
datasets\buildings\image\3161.png datasets\buildings\label2_gray\3161.png datasets\buildings\edge\3161.png
datasets\buildings\image\866.png datasets\buildings\label2_gray\866.png datasets\buildings\edge\866.png
datasets\buildings\image\4263.png datasets\buildings\label2_gray\4263.png datasets\buildings\edge\4263.png
datasets\buildings\image\781.png datasets\buildings\label2_gray\781.png datasets\buildings\edge\781.png
datasets\buildings\image\2939.png datasets\buildings\label2_gray\2939.png datasets\buildings\edge\2939.png
datasets\buildings\image\5203.png datasets\buildings\label2_gray\5203.png datasets\buildings\edge\5203.png
datasets\buildings\image\5432.png datasets\buildings\label2_gray\5432.png datasets\buildings\edge\5432.png
datasets\buildings\image\3107.png datasets\buildings\label2_gray\3107.png datasets\buildings\edge\3107.png
datasets\buildings\image\1162.png datasets\buildings\label2_gray\1162.png datasets\buildings\edge\1162.png
datasets\buildings\image\1848.png datasets\buildings\label2_gray\1848.png datasets\buildings\edge\1848.png
datasets\buildings\image\507.png datasets\buildings\label2_gray\507.png datasets\buildings\edge\507.png
datasets\buildings\image\3702.png datasets\buildings\label2_gray\3702.png datasets\buildings\edge\3702.png
datasets\buildings\image\2324.png datasets\buildings\label2_gray\2324.png datasets\buildings\edge\2324.png
datasets\buildings\image\1030.png datasets\buildings\label2_gray\1030.png datasets\buildings\edge\1030.png
datasets\buildings\image\15.png datasets\buildings\label2_gray\15.png datasets\buildings\edge\15.png
datasets\buildings\image\2970.png datasets\buildings\label2_gray\2970.png datasets\buildings\edge\2970.png
datasets\buildings\image\1983.png datasets\buildings\label2_gray\1983.png datasets\buildings\edge\1983.png
datasets\buildings\image\2744.png datasets\buildings\label2_gray\2744.png datasets\buildings\edge\2744.png
datasets\buildings\image\3672.png datasets\buildings\label2_gray\3672.png datasets\buildings\edge\3672.png
datasets\buildings\image\1048.png datasets\buildings\label2_gray\1048.png datasets\buildings\edge\1048.png
datasets\buildings\image\2250.png datasets\buildings\label2_gray\2250.png datasets\buildings\edge\2250.png
datasets\buildings\image\2892.png datasets\buildings\label2_gray\2892.png datasets\buildings\edge\2892.png
datasets\buildings\image\4902.png datasets\buildings\label2_gray\4902.png datasets\buildings\edge\4902.png
datasets\buildings\image\3470.png datasets\buildings\label2_gray\3470.png datasets\buildings\edge\3470.png
datasets\buildings\image\1754.png datasets\buildings\label2_gray\1754.png datasets\buildings\edge\1754.png
datasets\buildings\image\165.png datasets\buildings\label2_gray\165.png datasets\buildings\edge\165.png
datasets\buildings\image\5198.png datasets\buildings\label2_gray\5198.png datasets\buildings\edge\5198.png
datasets\buildings\image\1601.png datasets\buildings\label2_gray\1601.png datasets\buildings\edge\1601.png
datasets\buildings\image\3615.png datasets\buildings\label2_gray\3615.png datasets\buildings\edge\3615.png
datasets\buildings\image\1114.png datasets\buildings\label2_gray\1114.png datasets\buildings\edge\1114.png
datasets\buildings\image\2654.png datasets\buildings\label2_gray\2654.png datasets\buildings\edge\2654.png
datasets\buildings\image\128.png datasets\buildings\label2_gray\128.png datasets\buildings\edge\128.png
datasets\buildings\image\5775.png datasets\buildings\label2_gray\5775.png datasets\buildings\edge\5775.png
datasets\buildings\image\2150.png datasets\buildings\label2_gray\2150.png datasets\buildings\edge\2150.png
datasets\buildings\image\3593.png datasets\buildings\label2_gray\3593.png datasets\buildings\edge\3593.png
datasets\buildings\image\5404.png datasets\buildings\label2_gray\5404.png datasets\buildings\edge\5404.png
datasets\buildings\image\2532.png datasets\buildings\label2_gray\2532.png datasets\buildings\edge\2532.png
datasets\buildings\image\1435.png datasets\buildings\label2_gray\1435.png datasets\buildings\edge\1435.png
datasets\buildings\image\2748.png datasets\buildings\label2_gray\2748.png datasets\buildings\edge\2748.png
datasets\buildings\image\17.png datasets\buildings\label2_gray\17.png datasets\buildings\edge\17.png
datasets\buildings\image\3689.png datasets\buildings\label2_gray\3689.png datasets\buildings\edge\3689.png
datasets\buildings\image\754.png datasets\buildings\label2_gray\754.png datasets\buildings\edge\754.png
datasets\buildings\image\308.png datasets\buildings\label2_gray\308.png datasets\buildings\edge\308.png
datasets\buildings\image\654.png datasets\buildings\label2_gray\654.png datasets\buildings\edge\654.png
datasets\buildings\image\2877.png datasets\buildings\label2_gray\2877.png datasets\buildings\edge\2877.png
datasets\buildings\image\3798.png datasets\buildings\label2_gray\3798.png datasets\buildings\edge\3798.png
datasets\buildings\image\3961.png datasets\buildings\label2_gray\3961.png datasets\buildings\edge\3961.png
datasets\buildings\image\1992.png datasets\buildings\label2_gray\1992.png datasets\buildings\edge\1992.png
datasets\buildings\image\3657.png datasets\buildings\label2_gray\3657.png datasets\buildings\edge\3657.png
datasets\buildings\image\4180.png datasets\buildings\label2_gray\4180.png datasets\buildings\edge\4180.png
datasets\buildings\image\5535.png datasets\buildings\label2_gray\5535.png datasets\buildings\edge\5535.png
datasets\buildings\image\2364.png datasets\buildings\label2_gray\2364.png datasets\buildings\edge\2364.png
datasets\buildings\image\419.png datasets\buildings\label2_gray\419.png datasets\buildings\edge\419.png
datasets\buildings\image\4082.png datasets\buildings\label2_gray\4082.png datasets\buildings\edge\4082.png
datasets\buildings\image\5280.png datasets\buildings\label2_gray\5280.png datasets\buildings\edge\5280.png
datasets\buildings\image\853.png datasets\buildings\label2_gray\853.png datasets\buildings\edge\853.png
datasets\buildings\image\2718.png datasets\buildings\label2_gray\2718.png datasets\buildings\edge\2718.png
datasets\buildings\image\4426.png datasets\buildings\label2_gray\4426.png datasets\buildings\edge\4426.png
datasets\buildings\image\3364.png datasets\buildings\label2_gray\3364.png datasets\buildings\edge\3364.png
datasets\buildings\image\1289.png datasets\buildings\label2_gray\1289.png datasets\buildings\edge\1289.png
datasets\buildings\image\3271.png datasets\buildings\label2_gray\3271.png datasets\buildings\edge\3271.png
datasets\buildings\image\2349.png datasets\buildings\label2_gray\2349.png datasets\buildings\edge\2349.png
datasets\buildings\image\5128.png datasets\buildings\label2_gray\5128.png datasets\buildings\edge\5128.png
datasets\buildings\image\2943.png datasets\buildings\label2_gray\2943.png datasets\buildings\edge\2943.png
datasets\buildings\image\5038.png datasets\buildings\label2_gray\5038.png datasets\buildings\edge\5038.png
datasets\buildings\image\2967.png datasets\buildings\label2_gray\2967.png datasets\buildings\edge\2967.png
datasets\buildings\image\3033.png datasets\buildings\label2_gray\3033.png datasets\buildings\edge\3033.png
datasets\buildings\image\3027.png datasets\buildings\label2_gray\3027.png datasets\buildings\edge\3027.png
datasets\buildings\image\5011.png datasets\buildings\label2_gray\5011.png datasets\buildings\edge\5011.png
datasets\buildings\image\5888.png datasets\buildings\label2_gray\5888.png datasets\buildings\edge\5888.png
datasets\buildings\image\2386.png datasets\buildings\label2_gray\2386.png datasets\buildings\edge\2386.png
datasets\buildings\image\410.png datasets\buildings\label2_gray\410.png datasets\buildings\edge\410.png
datasets\buildings\image\4045.png datasets\buildings\label2_gray\4045.png datasets\buildings\edge\4045.png
datasets\buildings\image\2274.png datasets\buildings\label2_gray\2274.png datasets\buildings\edge\2274.png
datasets\buildings\image\1970.png datasets\buildings\label2_gray\1970.png datasets\buildings\edge\1970.png
datasets\buildings\image\58.png datasets\buildings\label2_gray\58.png datasets\buildings\edge\58.png
datasets\buildings\image\3243.png datasets\buildings\label2_gray\3243.png datasets\buildings\edge\3243.png
datasets\buildings\image\3122.png datasets\buildings\label2_gray\3122.png datasets\buildings\edge\3122.png
datasets\buildings\image\5908.png datasets\buildings\label2_gray\5908.png datasets\buildings\edge\5908.png
datasets\buildings\image\5919.png datasets\buildings\label2_gray\5919.png datasets\buildings\edge\5919.png
datasets\buildings\image\1415.png datasets\buildings\label2_gray\1415.png datasets\buildings\edge\1415.png
datasets\buildings\image\2900.png datasets\buildings\label2_gray\2900.png datasets\buildings\edge\2900.png
datasets\buildings\image\4360.png datasets\buildings\label2_gray\4360.png datasets\buildings\edge\4360.png
datasets\buildings\image\5066.png datasets\buildings\label2_gray\5066.png datasets\buildings\edge\5066.png
datasets\buildings\image\3423.png datasets\buildings\label2_gray\3423.png datasets\buildings\edge\3423.png
datasets\buildings\image\2665.png datasets\buildings\label2_gray\2665.png datasets\buildings\edge\2665.png
datasets\buildings\image\4452.png datasets\buildings\label2_gray\4452.png datasets\buildings\edge\4452.png
datasets\buildings\image\5340.png datasets\buildings\label2_gray\5340.png datasets\buildings\edge\5340.png
datasets\buildings\image\3011.png datasets\buildings\label2_gray\3011.png datasets\buildings\edge\3011.png
datasets\buildings\image\4142.png datasets\buildings\label2_gray\4142.png datasets\buildings\edge\4142.png
datasets\buildings\image\1418.png datasets\buildings\label2_gray\1418.png datasets\buildings\edge\1418.png
datasets\buildings\image\3875.png datasets\buildings\label2_gray\3875.png datasets\buildings\edge\3875.png
datasets\buildings\image\316.png datasets\buildings\label2_gray\316.png datasets\buildings\edge\316.png
datasets\buildings\image\2492.png datasets\buildings\label2_gray\2492.png datasets\buildings\edge\2492.png
datasets\buildings\image\3658.png datasets\buildings\label2_gray\3658.png datasets\buildings\edge\3658.png
datasets\buildings\image\1728.png datasets\buildings\label2_gray\1728.png datasets\buildings\edge\1728.png
datasets\buildings\image\5339.png datasets\buildings\label2_gray\5339.png datasets\buildings\edge\5339.png
datasets\buildings\image\2025.png datasets\buildings\label2_gray\2025.png datasets\buildings\edge\2025.png
datasets\buildings\image\3255.png datasets\buildings\label2_gray\3255.png datasets\buildings\edge\3255.png
datasets\buildings\image\2753.png datasets\buildings\label2_gray\2753.png datasets\buildings\edge\2753.png
datasets\buildings\image\2291.png datasets\buildings\label2_gray\2291.png datasets\buildings\edge\2291.png
datasets\buildings\image\2788.png datasets\buildings\label2_gray\2788.png datasets\buildings\edge\2788.png
datasets\buildings\image\2194.png datasets\buildings\label2_gray\2194.png datasets\buildings\edge\2194.png
datasets\buildings\image\3992.png datasets\buildings\label2_gray\3992.png datasets\buildings\edge\3992.png
datasets\buildings\image\366.png datasets\buildings\label2_gray\366.png datasets\buildings\edge\366.png
datasets\buildings\image\413.png datasets\buildings\label2_gray\413.png datasets\buildings\edge\413.png
datasets\buildings\image\5647.png datasets\buildings\label2_gray\5647.png datasets\buildings\edge\5647.png
datasets\buildings\image\4218.png datasets\buildings\label2_gray\4218.png datasets\buildings\edge\4218.png
datasets\buildings\image\184.png datasets\buildings\label2_gray\184.png datasets\buildings\edge\184.png
datasets\buildings\image\3949.png datasets\buildings\label2_gray\3949.png datasets\buildings\edge\3949.png
datasets\buildings\image\3061.png datasets\buildings\label2_gray\3061.png datasets\buildings\edge\3061.png
datasets\buildings\image\5318.png datasets\buildings\label2_gray\5318.png datasets\buildings\edge\5318.png
datasets\buildings\image\4794.png datasets\buildings\label2_gray\4794.png datasets\buildings\edge\4794.png
datasets\buildings\image\1895.png datasets\buildings\label2_gray\1895.png datasets\buildings\edge\1895.png
datasets\buildings\image\423.png datasets\buildings\label2_gray\423.png datasets\buildings\edge\423.png
datasets\buildings\image\1313.png datasets\buildings\label2_gray\1313.png datasets\buildings\edge\1313.png
datasets\buildings\image\233.png datasets\buildings\label2_gray\233.png datasets\buildings\edge\233.png
datasets\buildings\image\5357.png datasets\buildings\label2_gray\5357.png datasets\buildings\edge\5357.png
datasets\buildings\image\3385.png datasets\buildings\label2_gray\3385.png datasets\buildings\edge\3385.png
datasets\buildings\image\3607.png datasets\buildings\label2_gray\3607.png datasets\buildings\edge\3607.png
datasets\buildings\image\3323.png datasets\buildings\label2_gray\3323.png datasets\buildings\edge\3323.png
datasets\buildings\image\4439.png datasets\buildings\label2_gray\4439.png datasets\buildings\edge\4439.png
datasets\buildings\image\281.png datasets\buildings\label2_gray\281.png datasets\buildings\edge\281.png
datasets\buildings\image\2726.png datasets\buildings\label2_gray\2726.png datasets\buildings\edge\2726.png
datasets\buildings\image\2246.png datasets\buildings\label2_gray\2246.png datasets\buildings\edge\2246.png
datasets\buildings\image\3062.png datasets\buildings\label2_gray\3062.png datasets\buildings\edge\3062.png
datasets\buildings\image\633.png datasets\buildings\label2_gray\633.png datasets\buildings\edge\633.png
datasets\buildings\image\1861.png datasets\buildings\label2_gray\1861.png datasets\buildings\edge\1861.png
datasets\buildings\image\4713.png datasets\buildings\label2_gray\4713.png datasets\buildings\edge\4713.png
datasets\buildings\image\4320.png datasets\buildings\label2_gray\4320.png datasets\buildings\edge\4320.png
datasets\buildings\image\5019.png datasets\buildings\label2_gray\5019.png datasets\buildings\edge\5019.png
datasets\buildings\image\1879.png datasets\buildings\label2_gray\1879.png datasets\buildings\edge\1879.png
datasets\buildings\image\5844.png datasets\buildings\label2_gray\5844.png datasets\buildings\edge\5844.png
datasets\buildings\image\682.png datasets\buildings\label2_gray\682.png datasets\buildings\edge\682.png
datasets\buildings\image\882.png datasets\buildings\label2_gray\882.png datasets\buildings\edge\882.png
datasets\buildings\image\3488.png datasets\buildings\label2_gray\3488.png datasets\buildings\edge\3488.png
datasets\buildings\image\651.png datasets\buildings\label2_gray\651.png datasets\buildings\edge\651.png
datasets\buildings\image\2609.png datasets\buildings\label2_gray\2609.png datasets\buildings\edge\2609.png
datasets\buildings\image\2019.png datasets\buildings\label2_gray\2019.png datasets\buildings\edge\2019.png
datasets\buildings\image\314.png datasets\buildings\label2_gray\314.png datasets\buildings\edge\314.png
datasets\buildings\image\5297.png datasets\buildings\label2_gray\5297.png datasets\buildings\edge\5297.png
datasets\buildings\image\3010.png datasets\buildings\label2_gray\3010.png datasets\buildings\edge\3010.png
datasets\buildings\image\5158.png datasets\buildings\label2_gray\5158.png datasets\buildings\edge\5158.png
datasets\buildings\image\1189.png datasets\buildings\label2_gray\1189.png datasets\buildings\edge\1189.png
datasets\buildings\image\3727.png datasets\buildings\label2_gray\3727.png datasets\buildings\edge\3727.png
datasets\buildings\image\4197.png datasets\buildings\label2_gray\4197.png datasets\buildings\edge\4197.png
datasets\buildings\image\84.png datasets\buildings\label2_gray\84.png datasets\buildings\edge\84.png
datasets\buildings\image\4709.png datasets\buildings\label2_gray\4709.png datasets\buildings\edge\4709.png
datasets\buildings\image\263.png datasets\buildings\label2_gray\263.png datasets\buildings\edge\263.png
datasets\buildings\image\1877.png datasets\buildings\label2_gray\1877.png datasets\buildings\edge\1877.png
datasets\buildings\image\1166.png datasets\buildings\label2_gray\1166.png datasets\buildings\edge\1166.png
datasets\buildings\image\2030.png datasets\buildings\label2_gray\2030.png datasets\buildings\edge\2030.png
datasets\buildings\image\4251.png datasets\buildings\label2_gray\4251.png datasets\buildings\edge\4251.png
datasets\buildings\image\2423.png datasets\buildings\label2_gray\2423.png datasets\buildings\edge\2423.png
datasets\buildings\image\717.png datasets\buildings\label2_gray\717.png datasets\buildings\edge\717.png
datasets\buildings\image\1581.png datasets\buildings\label2_gray\1581.png datasets\buildings\edge\1581.png
datasets\buildings\image\3604.png datasets\buildings\label2_gray\3604.png datasets\buildings\edge\3604.png
datasets\buildings\image\2539.png datasets\buildings\label2_gray\2539.png datasets\buildings\edge\2539.png
datasets\buildings\image\2040.png datasets\buildings\label2_gray\2040.png datasets\buildings\edge\2040.png
datasets\buildings\image\4926.png datasets\buildings\label2_gray\4926.png datasets\buildings\edge\4926.png
datasets\buildings\image\5371.png datasets\buildings\label2_gray\5371.png datasets\buildings\edge\5371.png
datasets\buildings\image\5483.png datasets\buildings\label2_gray\5483.png datasets\buildings\edge\5483.png
datasets\buildings\image\4836.png datasets\buildings\label2_gray\4836.png datasets\buildings\edge\4836.png
datasets\buildings\image\1409.png datasets\buildings\label2_gray\1409.png datasets\buildings\edge\1409.png
datasets\buildings\image\2903.png datasets\buildings\label2_gray\2903.png datasets\buildings\edge\2903.png
datasets\buildings\image\1514.png datasets\buildings\label2_gray\1514.png datasets\buildings\edge\1514.png
datasets\buildings\image\2228.png datasets\buildings\label2_gray\2228.png datasets\buildings\edge\2228.png
datasets\buildings\image\2922.png datasets\buildings\label2_gray\2922.png datasets\buildings\edge\2922.png
datasets\buildings\image\5682.png datasets\buildings\label2_gray\5682.png datasets\buildings\edge\5682.png
datasets\buildings\image\4173.png datasets\buildings\label2_gray\4173.png datasets\buildings\edge\4173.png
datasets\buildings\image\5872.png datasets\buildings\label2_gray\5872.png datasets\buildings\edge\5872.png
datasets\buildings\image\4757.png datasets\buildings\label2_gray\4757.png datasets\buildings\edge\4757.png
datasets\buildings\image\3525.png datasets\buildings\label2_gray\3525.png datasets\buildings\edge\3525.png
datasets\buildings\image\1185.png datasets\buildings\label2_gray\1185.png datasets\buildings\edge\1185.png
datasets\buildings\image\3531.png datasets\buildings\label2_gray\3531.png datasets\buildings\edge\3531.png
datasets\buildings\image\2949.png datasets\buildings\label2_gray\2949.png datasets\buildings\edge\2949.png
datasets\buildings\image\4971.png datasets\buildings\label2_gray\4971.png datasets\buildings\edge\4971.png
datasets\buildings\image\945.png datasets\buildings\label2_gray\945.png datasets\buildings\edge\945.png
datasets\buildings\image\4224.png datasets\buildings\label2_gray\4224.png datasets\buildings\edge\4224.png
datasets\buildings\image\2114.png datasets\buildings\label2_gray\2114.png datasets\buildings\edge\2114.png
datasets\buildings\image\5162.png datasets\buildings\label2_gray\5162.png datasets\buildings\edge\5162.png
datasets\buildings\image\133.png datasets\buildings\label2_gray\133.png datasets\buildings\edge\133.png
datasets\buildings\image\2923.png datasets\buildings\label2_gray\2923.png datasets\buildings\edge\2923.png
datasets\buildings\image\4793.png datasets\buildings\label2_gray\4793.png datasets\buildings\edge\4793.png
datasets\buildings\image\2619.png datasets\buildings\label2_gray\2619.png datasets\buildings\edge\2619.png
datasets\buildings\image\4252.png datasets\buildings\label2_gray\4252.png datasets\buildings\edge\4252.png
datasets\buildings\image\1035.png datasets\buildings\label2_gray\1035.png datasets\buildings\edge\1035.png
datasets\buildings\image\5245.png datasets\buildings\label2_gray\5245.png datasets\buildings\edge\5245.png
datasets\buildings\image\2241.png datasets\buildings\label2_gray\2241.png datasets\buildings\edge\2241.png
datasets\buildings\image\2802.png datasets\buildings\label2_gray\2802.png datasets\buildings\edge\2802.png
datasets\buildings\image\5420.png datasets\buildings\label2_gray\5420.png datasets\buildings\edge\5420.png
datasets\buildings\image\2525.png datasets\buildings\label2_gray\2525.png datasets\buildings\edge\2525.png
datasets\buildings\image\2602.png datasets\buildings\label2_gray\2602.png datasets\buildings\edge\2602.png
datasets\buildings\image\5184.png datasets\buildings\label2_gray\5184.png datasets\buildings\edge\5184.png
datasets\buildings\image\216.png datasets\buildings\label2_gray\216.png datasets\buildings\edge\216.png
datasets\buildings\image\900.png datasets\buildings\label2_gray\900.png datasets\buildings\edge\900.png
datasets\buildings\image\5284.png datasets\buildings\label2_gray\5284.png datasets\buildings\edge\5284.png
datasets\buildings\image\3392.png datasets\buildings\label2_gray\3392.png datasets\buildings\edge\3392.png
datasets\buildings\image\3756.png datasets\buildings\label2_gray\3756.png datasets\buildings\edge\3756.png
datasets\buildings\image\1809.png datasets\buildings\label2_gray\1809.png datasets\buildings\edge\1809.png
datasets\buildings\image\1732.png datasets\buildings\label2_gray\1732.png datasets\buildings\edge\1732.png
datasets\buildings\image\1411.png datasets\buildings\label2_gray\1411.png datasets\buildings\edge\1411.png
datasets\buildings\image\1339.png datasets\buildings\label2_gray\1339.png datasets\buildings\edge\1339.png
datasets\buildings\image\255.png datasets\buildings\label2_gray\255.png datasets\buildings\edge\255.png
datasets\buildings\image\2359.png datasets\buildings\label2_gray\2359.png datasets\buildings\edge\2359.png
datasets\buildings\image\1919.png datasets\buildings\label2_gray\1919.png datasets\buildings\edge\1919.png
datasets\buildings\image\801.png datasets\buildings\label2_gray\801.png datasets\buildings\edge\801.png
datasets\buildings\image\470.png datasets\buildings\label2_gray\470.png datasets\buildings\edge\470.png
datasets\buildings\image\4279.png datasets\buildings\label2_gray\4279.png datasets\buildings\edge\4279.png
datasets\buildings\image\1034.png datasets\buildings\label2_gray\1034.png datasets\buildings\edge\1034.png
datasets\buildings\image\1151.png datasets\buildings\label2_gray\1151.png datasets\buildings\edge\1151.png
datasets\buildings\image\2237.png datasets\buildings\label2_gray\2237.png datasets\buildings\edge\2237.png
datasets\buildings\image\47.png datasets\buildings\label2_gray\47.png datasets\buildings\edge\47.png
datasets\buildings\image\3507.png datasets\buildings\label2_gray\3507.png datasets\buildings\edge\3507.png
datasets\buildings\image\3115.png datasets\buildings\label2_gray\3115.png datasets\buildings\edge\3115.png
datasets\buildings\image\3431.png datasets\buildings\label2_gray\3431.png datasets\buildings\edge\3431.png
datasets\buildings\image\5813.png datasets\buildings\label2_gray\5813.png datasets\buildings\edge\5813.png
datasets\buildings\image\3109.png datasets\buildings\label2_gray\3109.png datasets\buildings\edge\3109.png
